interval,date1,site,diver,transect,side,colour,distance,new,date2,found,
8,2017-05-18,Second,OP,1,L,pink/purple,11.75,1,2017-06-09,0,
8,2017-05-18,Second,OP,1,R,pink/purple,9.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,1,R,pink/purple,13,1,2017-06-09,1,
8,2017-05-18,Second,OP,2,R,pink/purple,2.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,2,R,pink/purple,2.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,2,R,pink/purple,2.5,1,2017-06-09,0,
8,2017-05-18,Second,OP,3,R,pink/purple,18.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,3,R,pink/purple,18.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,3,R,pink/purple,18.5,1,2017-06-09,1,
8,2017-05-18,Second,OP,3,R,pink/purple,18.5,1,2017-06-09,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,1,L,pink/purple,18,1,2017-06-04,1,
8,2017-05-18,Manley,OP,2,L,pink/purple,16.5,1,2017-06-04,1,
8,2017-05-18,Manley,OP,2,L,pink/purple,16.5,1,2017-06-04,1,
8,2017-05-18,Manley,OP,2,L,pink/purple,16.5,1,2017-06-04,1,
8,2017-05-18,Manley,OP,3,R,pink/purple,0,1,2017-06-04,1,
8,2017-05-18,Manley,OP,3,L,pink/purple,0,1,2017-06-04,1,
8,2017-05-18,North,OP,2,R,pink/purple,2.5,1,2017-06-06,1,
8,2017-05-18,North,OP,2,R,pink/purple,2.75,1,2017-06-06,1,
8,2017-05-18,North,OP,2,R,pink/purple,14,1,2017-06-06,1,
8,2017-05-18,North,OP,2,L,pink/purple,20,1,2017-06-06,1,
8,2017-05-18,North,OP,2,L,pink/purple,20,1,2017-06-06,1,
8,2017-05-18,North,OP,2,L,pink/purple,18.5,1,2017-06-06,1,
8,2017-05-18,North,OP,2,L,pink/purple,1,1,2017-06-06,1,
8,2017-05-18,North,OP,3,L,pink/purple,18.5,1,2017-06-06,1,
8,2017-05-18,North,OP,3,L,pink/purple,18.5,1,2017-06-06,1,
8,2017-05-18,North,OP,3,R,pink/purple,18.5,1,2017-06-06,1,
9,2017-06-03,North,OP,3,R,yellow ,16.5,1,2017-07-13,1,
9,2017-06-03,North,OP,3,R,yellow ,16.5,1,2017-07-13,1,
9,2017-06-03,North,OP,3,R,yellow ,16.5,1,2017-07-13,1,
9,2017-06-03,North,OP,2,R,yellow ,17,1,2017-07-13,1,
9,2017-06-03,North,OP,2,R,yellow ,17,1,2017-07-13,1,
9,2017-06-03,North,OP,2,R,yellow ,17,1,2017-07-13,1,
9,2017-06-03,North,OP,1,R,yellow ,4.5,1,2017-07-13,0,
9,2017-06-03,North,OP,1,R,yellow ,4.5,1,2017-07-13,0,
9,2017-06-03,North,OP,1,R,yellow ,1,1,2017-07-13,1,
9,2017-06-03,North,OP,1,R,yellow ,1,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,11,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,11,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,11,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,11,1,2017-07-13,1,
9,2017-06-03,Second,OP,2,L,yellow ,0,1,2017-07-13,1,
9,2017-06-03,Second,OP,2,L,yellow ,0,1,2017-07-13,1,
9,2017-06-03,Second,OP,3,L,yellow ,5,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,13,1,2017-07-13,1,
9,2017-06-03,Second,OP,1,L,yellow ,13.2,1,2017-07-13,0,
9,2017-06-03,Second,OP,1,L,yellow ,13.5,1,2017-07-13,1,
9,2017-06-03,Second,OP,2,R,yellow,8,1,2017-07-13,0,
9,2017-06-03,Manley,OP,1,R,yellow,19,1,2017-07-13,0,
9,2017-06-03,Manley,OP,1,R,yellow,10.5,1,2017-07-13,1,
9,2017-06-03,Manley,OP,1,R,yellow,10.5,1,2017-07-13,1,
9,2017-06-03,Manley,OP,2,R,yellow,1.5,1,2017-07-13,0,
9,2017-06-03,Manley,OP,2,R,yellow,2,1,2017-07-13,1,
9,2017-06-03,Manley,OP,2,R,yellow,7,1,2017-07-13,1,
9,2017-06-03,Manley,OP,2,R,yellow,13.5,1,2017-07-13,1,
9,2017-06-03,Manley,OP,3,R,yellow,19.3,1,2017-07-13,0,
9,2017-06-03,Manley,OP,3,R,yellow,19.3,1,2017-07-13,0,
9,2017-06-03,Manley,OP,3,L,yellow,18.5,1,2017-07-13,1,
9,2017-06-03,Manley,OP,3,L,yellow,18.5,1,2017-07-13,1,
9,2017-06-03,Manley,OP,2,R,yellow,2,1,2017-07-13,1,
9,2017-06-03,Manley,OP,2,R,yellow,7,1,2017-07-13,1,
10,2017-07-17,Second,OP,1,R,pink,14,1,2017-08-12,0,
10,2017-07-17,Second,OP,1,L,pink,20,1,2017-08-12,0,
10,2017-07-17,Second,OP,1,L,pink,20,1,2017-08-12,0,
10,2017-07-17,Second,OP,1,R,pink,5.5,1,2017-08-12,1,
10,2017-07-17,Second,OP,2,R,pink,4,1,2017-08-12,0,
10,2017-07-17,Second,OP,2,R,pink,6.5,1,2017-08-12,0,
10,2017-07-17,Second,OP,2,L,pink,16.5,1,2017-08-12,0,
10,2017-07-17,Second,OP,2,L,pink,20,1,2017-08-12,0,
10,2017-07-17,Second,OP,3,L,pink,5,1,2017-08-12,0,
10,2017-07-17,Second,OP,3,L,pink,8.5,1,2017-08-12,1,
10,2017-07-17,Second,OP,3,R,pink,12,1,2017-08-12,1,
10,2017-07-17,Second,OP,3,R,pink,8,1,2017-08-12,0,
10,2017-07-17,Manley,OP,1,L,pink,11,1,2017-08-24,0,
10,2017-07-17,Manley,OP,1,L,pink,17,1,2017-08-24,0,
10,2017-07-17,Manley,OP,2,L,pink,10,1,2017-08-24,0,
10,2017-07-17,Manley,OP,2,L,pink,14.5,1,2017-08-24,0,
10,2017-07-17,Manley,OP,2,L,pink,14.5,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,L,pink,13,1,2017-08-24,0,
10,2017-07-17,Manley,OP,1,R,pink,3,1,2017-08-24,0,
10,2017-07-17,Manley,OP,1,R,pink,11,1,2017-08-24,0,
10,2017-07-17,Manley,OP,1,R,pink,11,1,2017-08-24,0,
10,2017-07-17,Manley,OP,2,R,pink,8,1,2017-08-24,0,
10,2017-07-17,Manley,OP,2,R,pink,12,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,R,pink,13,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,R,pink,10,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,R,pink,10,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,R,pink,3,1,2017-08-24,0,
10,2017-07-17,Manley,OP,3,R,pink,13,1,2017-08-24,0,
10,2017-07-17,North,OP,2,R,pink,8.5,1,2017-08-24,1,
10,2017-07-17,North,OP,2,L,pink,9,1,2017-08-24,1,
10,2017-07-17,North,OP,2,R,pink,17,1,2017-08-24,1,
10,2017-07-17,North,OP,2,L,pink,18.5,1,2017-08-24,0,
10,2017-07-17,North,OP,3,L,pink,1,1,2017-08-24,0,
10,2017-07-17,North,OP,3,R,pink,4,1,2017-08-24,1,
10,2017-07-17,North,OP,3,R,pink,4,1,2017-08-24,1,
10,2017-07-17,North,OP,3,L,pink,5,1,2017-08-24,0,
10,2017-07-17,North,OP,1,L,pink,2,1,2017-08-24,0,
10,2017-07-17,North,OP,1,L,pink,2,1,2017-08-24,0,
10,2017-07-17,North,OP,1,L,pink,2,1,2017-08-24,1,
10,2017-07-17,North,OP,1,R,pink,3,1,2017-08-24,0,
10,2017-07-17,North,OP,1,R,pink,3,1,2017-08-24,0,
11,2017-08-24,North,OP,2,R,orange,17,1,2017-11-23,1,
11,2017-08-24,North,OP,2,R,orange,17,1,2017-11-23,0,
11,2017-08-24,North,OP,2,R,orange,17,1,2017-11-23,0,
11,2017-08-24,North,OP,3,R,orange,16,1,2017-11-23,1,
11,2017-08-24,North,OP,3,R,orange,16,1,2017-11-23,0,
11,2017-08-24,North,OP,3,R,orange,16,1,2017-11-23,0,
11,2017-08-24,North,OP,3,L,orange,16,1,2017-11-23,0,
11,2017-08-24,North,OP,3,R,orange,17,1,2017-11-23,0,
11,2017-08-24,North,OP,3,R,orange,17,1,2017-11-23,0,
11,2017-08-24,North,OP,3,R,orange,17,1,2017-11-23,0,
11,2017-08-24,North,OP,1,R,orange,4,1,2017-11-23,0,
11,2017-08-24,North,OP,1,L,orange,1,1,2017-11-23,0,
11,2017-08-24,North,OP,1,R,orange,1,1,2017-11-23,0,
11,2017-08-24,North,OP,1,R,orange,1,1,2017-11-23,0,
11,2017-08-24,North,OP,1,L,orange,2,1,2017-11-23,0,
11,2017-08-28,Second,OP,3,R,orange,16,1,2017-11-17,0,
11,2017-08-28,Second,OP,3,L,orange,1.5,1,2017-11-17,1,
11,2017-08-28,Second,OP,3,L,orange,5,1,2017-11-17,1,
11,2017-08-28,Second,OP,2,R,orange,14,1,2017-11-17,1,
11,2017-08-28,Second,OP,2,R,orange,16,1,2017-11-17,0,
11,2017-08-28,Second,OP,2,R,orange,17,1,2017-11-17,0,
11,2017-08-28,Second,OP,1,R,orange,13,1,2017-11-17,0,
11,2017-08-28,Second,OP,1,R,orange,12,1,2017-11-17,0,
11,2017-08-28,Second,OP,1,L,orange,8,1,2017-11-17,0,
11,2017-08-28,Second,OP,1,L,orange,9,1,2017-11-17,0,
11,2017-08-24,Manley,DV,2,R,pink,12,1,2017-11-20,0,***only plant in the plot
12,2017-11-23,North,DV,1,na,pink,5.5,1,2018-02-17,0,
12,2017-11-23,North,DV,1,na,pink,10,1,2018-02-17,0,
12,2017-11-23,North,DV,1,na,pink,11.5,1,2018-02-17,0,
12,2017-11-23,North,DV,2,na,pink,19.5,1,2018-02-17,0,
12,2017-11-23,North,DV,2,na,pink,16.5,1,2018-02-17,0,
12,2017-11-23,North,DV,2,na,pink,16.5,1,2018-02-17,0,
12,2017-11-23,North,DV,3,na,pink,15,1,2018-02-17,0,
12,2017-11-23,North,DV,3,na,pink,16,1,2018-02-17,0,
12,2017-11-23,North,DV,3,na,pink,19,1,2018-02-17,1,
12,2017-11-17,Second,DV,1,R,pink,8,1,2018-02-15,1,
12,2017-11-17,Second,DV,2,R,pink,14,1,2018-02-15,0,
12,2017-11-17,Second,DV,3,L,pink,5,1,2018-02-15,0,
12,2017-11-17,Second,DV,3,L,pink,1.5,1,2018-02-15,0,
