interval,date1,site,diver,transect,side,colour,distance,new,date2,found,
1,2016-05-26,Manley,OP,1,L,orange,"18,19",5,2016-06-15,4,
1,2016-05-26,Manley,OP,1,R,orange,"9,10",5,2016-06-15,5,
1,2016-05-26,Manley,OP,2,R,orange,"11,12",5,2016-06-15,2,
1,2016-05-26,Manley,DV,2,L,orange,"18,19",5,2016-06-15,5,
1,2016-05-26,Manley,OP,3,R,orange,"12,13",5,2016-06-15,5,
1,2016-05-26,Manley,DV,3,L,orange,"15,16",9,2016-06-15,7,
1,2016-05-26,North,DV,1,R,orange,"5,6",5,2016-06-13,3,
1,2016-05-26,North,OP,2,L,orange,"10,11",5,2016-06-13,5,
1,2016-05-26,North,OP,2,R,orange,"11,12",5,2016-06-13,3,
1,2016-05-26,North,OP,3,R,orange,"14,15",5,2016-06-13,4,
1,2016-05-26,North,OP,3,L,orange,"5,6",5,2016-06-13,4,
1,2016-05-27,Second,OP,1,R,orange,"10,11",5,2016-06-13,5,
1,2016-05-27,Second,OP,1,R,orange,"19,20",5,2016-06-13,2,
1,2016-05-27,Second,DV,1,L,orange,"6,7",5,2016-06-17,4,
1,2016-05-27,Second,OP,3,L,orange,"10,11",5,2016-06-17,5,
1,2016-05-27,Second,DV,3,R,orange,"10,11",5,2016-06-17,3,
1,2016-05-27,Second,OP,3,R,orange,"12,13",5,2016-06-13,4,
2,2016-06-13,North,OP,1,L,pink,"2,3",5,NA,NA,
2,2016-06-13,North,OP,1,R,pink,"5,6",3,NA,NA,
2,2016-06-13,North,OP,2,L,pink,"0,1",5,NA,NA,
2,2016-06-13,North,OP,2,R,pink,"11,12",3,NA,NA,
2,2016-06-13,North,OP,3,R,pink,14-15,3,NA,NA,
2,2016-06-13,North,OP,3,L,pink,"16,17",5,NA,NA,
2,2016-06-15,Manley,DV/OP/KH,1,L,pink,"13,14",5,NA,NA,
2,2016-06-15,Manley,DV/OP/KH,1,R,pink,"16,17",6,NA,NA,
2,2016-06-15,Manley,DV/OP/KH,2,L,pink,"15,16",5,NA,NA,
2,2016-06-15,Manley,DV/OP/KH,3,R,pink,"4,5",5,NA,NA,
2,2016-06-15,Manley,DV/OP/KH,3,L,pink,"8,9",5,NA,NA,
2,2016-06-17,Second,DV/KH,1,R,pink,"12,13",5,NA,NA,
2,2016-06-17,Second,OP,1,L,pink,"15,16",5,NA,NA,
2,2016-06-17,Second,OP,2,L,pink,"13,14",5,NA,NA,
2,2016-06-17,Second,DV/KH,2,R,pink,"9,10",5,NA,NA,
2,2016-06-17,Second,DV/KH,3,R,pink,"13,14",5,NA,NA,
2,2016-06-17,Second,OP,3,L,pink,"16,17",5,NA,NA,
8,2017-05-18,Second,OP,1,L,pink/purple,0,1,2017-06-09,1,
