period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2016-Aug,Meay,2016-08-15,87,MI0338,macro,blade,5,553.5,1983.6,18,757.2,,na
2016-Aug,Meay,2016-08-15,88,MI0339,macro,blade,5,1031.9,2845.2,18,1270.6,,na
2016-Aug,Meay,2016-08-15,81,na,macro,stipe,5,908.9,3775,18,1266,,na
2016-Aug,Meay,2016-08-15,82,na,macro,stipe,5,854.7,3645.1,18,1137.4,,na
2016-Aug,Meay,2016-08-15,83,na,macro,stipe,5,812.9,3407.1,18,1117.6,,na
2016-Aug,Meay,2016-08-15,85,na,macro,stipe,5,681.5,3473.2,18,1005.3,,na
2016-Aug,Meay,2016-08-15,86,na,macro,stipe,5,748.7,4542.5,18,1266.2,,na
2016-Aug,Meay,2016-08-15,87,na,macro,stipe,5,661.1,2973,18,948.1,,na
2016-Aug,Meay,2016-08-15,88,na,macro,stipe,5,736.9,4090.5,18,1168.4,,na
2016-Aug,Triquet,2016-08-12,67,na,macro,stipe,5,766,1995.7,23,974.2,,na
2016-Aug,Triquet,2016-08-12,68,na,macro,stipe,5,676.7,2840.8,23,1114.4,,na
2016-Aug,Triquet,2016-08-12,69,na,macro,stipe,5,659.6,1874,23,917.5,,na
2016-Aug,Triquet,2016-08-12,70,na,macro,stipe,5,555.2,1772.1,23,791.6,,na
2016-Aug,Triquet,2016-08-12,71,na,macro,stipe,5,468.3,1510.5,23,747.5,,na
2016-Aug,Triquet,2016-08-12,72,na,macro,stipe,5,510.3,1618.7,23,792.3,,na
2016-Aug,Triquet,2016-08-12,73,na,macro,stipe,5,359.2,1145.8,23,540.7,,na
2016-Aug,Triquet,2016-08-12,74,na,macro,stipe,5,371.5,1266.4,23,527.7,,na
2016-Aug,Triquet,2016-08-12,75,na,macro,stipe,5,351.7,1919,23,644,,na
2016-Aug,Triquet,2016-08-12,76,na,macro,stipe,5,334.7,983.1,23,498.4,,na
2016-Aug,Stryker,2016-08-29,89,MI0367,macro,blade,5,1271.6,3296.8,44,1502.5,,na
2016-Aug,Stryker,2016-08-29,90,MI0368,macro,blade,5,1271.5,3366.6,44,1538.5,,na
2016-Aug,Stryker,2016-08-29,91,MI0369,macro,blade,5,1215.2,3227,44,1496,,na
2016-Aug,Stryker,2016-08-29,92,MI0370,macro,blade,5,1287.7,3143.2,44,1501.1,some had to be strapped off due to bryozoans,na
2016-Aug,Stryker,2016-08-29,93,MI0371,macro,blade,5,1287,3111.2,44,1521.7,,na
2016-Aug,Stryker,2016-08-29,94,MI0372,macro,blade,5,1235.8,2992.6,44,1469.8,,na
2016-Aug,Stryker,2016-08-29,95,MI0373,macro,blade,5,1302.4,3068.9,44,1442.7,,na
2016-Aug,Stryker,2016-08-29,96,MI0374,macro,blade,5,1280.4,2912,44,1434.3,,na
2016-Aug,Stryker,2016-08-29,97,MI0375,macro,blade,5,1179.4,3298.8,44,1465.3,,na
2016-Aug,Stryker,2016-08-29,98,MI0376,macro,blade,5,1296.5,3622,44,1545.3,,na
2016-Aug,Stryker,2016-08-29,89,na,macro,stipe,5,1258,4129.4,44,1630,,na
2016-Aug,Stryker,2016-08-29,90,na,macro,stipe,5,1254,3740.5,44,1581.2,,na
2016-Aug,Stryker,2016-08-29,91,na,macro,stipe,5,1166,3909.5,44,1605.3,,na
2016-Aug,Stryker,2016-08-29,92,na,macro,stipe,5,1247.2,4253.4,44,1675.2,,na
2016-Aug,Stryker,2016-08-29,93,na,macro,stipe,5,1271.1,3714.3,44,1643.9,,na
2016-Aug,Stryker,2016-08-29,94,na,macro,stipe,5,1369.5,4194.7,44,1693.9,,na
2016-Aug,Stryker,2016-08-29,95,na,macro,stipe,5,1315.3,3424,44,1562.9,,na
2016-Aug,Stryker,2016-08-29,96,na,macro,stipe,5,1190,4083.8,44,1466.8,,na
