period,date,site,diver,contour,transect,dist,area,bin,side,stipeD,depth,time,comments,
2018-May,2018-05-22,Second,KH,na,1,18,2,18_20,L,1,na,na,,
2018-May,2018-05-22,Second,KH,na,1,0,2,0_2,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,2,2,2_4,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,4,2,4_6,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,6,2,6_8,R,1,na,na,,
2018-May,2018-05-22,Second,KH,na,1,8,2,8_10,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,10,2,10_12,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,12,2,12_14,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,14,2,14_16,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,1,16,2,16_18,R,1,na,na,,
2018-May,2018-05-22,Second,KH,na,1,18,2,18_20,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,0,2,0_2,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,2,2,2_4,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,4,2,4_6,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,6,2,6_8,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,8,2,8_10,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,10,2,10_12,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,12,2,12_14,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,14,2,14_16,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,16,2,16_18,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,18,2,18_20,L,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,0,2,0_2,R,0,na,na,,
2018-May,2018-05-22,Second,KH,na,2,2,2,2_4,R,2,na,na,,
2018-May,2018-05-22,Second,KH,na,2,4,2,4_6,R,0,na,na,,
