interval,site,date,sampleID,isotope_uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tagged_plantID
Jun-16,Second,2016-06-13,53,MI0119,nereo,blade,47,5834.9,11737.1,22.5,6439.8,,1828
Jun-16,Second,2016-06-13,54,MI0120,nereo,blade,22,8001.5,9537.5,22.5,8256.8,,1812
Jun-16,Second,2016-06-13,55,MI0121,nereo,blade,30,8513.8,9759,22.5,8765.3,,1746
Jun-16,North,2016-06-13,60,MI0122,nereo,blade,36,8245.2,18832.7,23,9087.3,,1922
Jun-16,North,2016-06-13,61,MI0123,nereo,blade,50,8451.7,21648.4,23,9417.4,,1545
Jun-16,North,2016-06-13,62,MI0124,nereo,blade,64,8240.9,18389.6,23,8966.2,,1918
Jun-16,North,2016-06-13,63,MI0125,nereo,blade,54,6530.3,14647.2,23,7132.7,,2099
Jun-16,North,2016-06-13,64,MI0126,nereo,blade,18,8007.2,10534.9,23,8209.7,,1900
Jun-16,North,2016-06-13,65,MI0127,nereo,blade,28,8235.5,11779.6,23,8504.8,,2021
Jun-16,North,2016-06-13,66,MI0128,nereo,blade,37,6585.1,12685.9,23,7035.9,,1866
Jun-16,North,2016-06-13,67,MI0129,nereo,blade,49,5895.1,12741,23,6412,,2101
Jun-16,North,2016-06-13,68,MI0130,nereo,blade,59,8051.6,18463.5,23,8808.8,,1789
Jun-16,North,2016-06-13,69,MI0131,nereo,blade,21,5897.5,8932,23,6132.3,,1776
Jun-16,North,2016-06-13,70,MI0132,nereo,blade,36,8457.1,17198.7,23,9072.2,,2092
Jun-16,North,2016-06-13,71,MI0133,nereo,blade,38,5832.2,9730,23,6137.9,,2053
Jun-16,North,2016-06-13,72,MI0134,nereo,blade,23,7731.6,10522.1,23,7931.8,,1964
Jun-16,North,2016-06-13,73,MI0135,nereo,blade,27,8181.3,10779.3,23,8382.2,,1971
Jun-16,Manley,2016-06-15,76,MI0138,nereo,blade,14,6533.6,7749.1,23.5,6638.7,,2078
Jun-16,Manley,2016-06-15,77,MI0139,nereo,blade,9,8516.7,9994,23.5,8681.1,,2030
Jun-16,Manley,2016-06-15,78,MI0140,nereo,blade,20,8003.5,10086,23.5,8206.5,,1739
Jun-16,Manley,2016-06-15,79,MI0141,nereo,blade,22,8237,11219.2,23.5,8498.6,,1800
Jun-16,Manley,2016-06-15,80,MI0142,nereo,blade,21,8459.7,11441.7,23.5,8697.6,,1725
Jun-16,Manley,2016-06-15,81,MI0143,nereo,blade,25,8472.5,11688.7,23.5,8730.8,,1726
Jun-16,Manley,2016-06-15,82,MI0144,nereo,blade,21.5,8190.5,12066,23.5,8569.5,,1735
Jun-16,Manley,2016-06-15,83,MI0145,nereo,blade,32,8453.7,11656.2,23.5,8742.5,,1841
Jun-16,Manley,2016-06-15,84,MI0146,nereo,blade,34,6581.5,11032.6,23.5,6920.7,,1782
Jun-16,Manley,2016-06-15,85,MI0147,nereo,blade,21,8246.2,10869.7,23.5,8462.8,,2085
Jun-16,Manley,2016-06-15,86,MI0148,nereo,blade,33,5878.5,11087.4,23.5,6326.6,,1999
Jun-16,Manley,2016-06-15,87,MI0149,nereo,blade,34,8065.6,13352.5,23.5,8480.7,,2132
Jun-16,Manley,2016-06-15,88,MI0150,nereo,blade,27,8241.4,12721,23.5,8601,,1771
Jun-16,Manley,2016-06-15,89,MI0151,nereo,blade,19,6589.3,8442.4,23.5,6731.8,,2114
Jul-16,Second,2016-07-24,90,MI0226,nereo,blade,13,381.1,3106,24,648.9,,2154
Jul-16,Second,2016-07-24,93,MI0229,nereo,blade,4,355,946.8,24,401.3,,2157
Jul-16,Second,2016-07-24,94,MI0230,nereo,blade,14,312.5,2524.8,24,NA,flew of,1268
Jul-16,Second,2016-07-24,95,MI0231,nereo,blade,14,398.5,1787.5,24,524.6,,797
Jul-16,Second,2016-07-24,99,MI0235,nereo,blade,2,220.6,476.2,24,243.1,,2173
Jul-16,Second,2016-07-24,100,MI0236,nereo,blade,26,368.3,5479.7,24,774,,2148
Jul-16,Second,2016-07-24,102,MI0238,nereo,blade,7,286.5,1327.9,24,385.4,,722
Jul-16,Second,2016-07-24,103,MI0239,nereo,blade,5,350.9,855.3,24,397.4,,2163
Jul-16,Second,2016-07-24,104,MI0240,nereo,blade,11,369.5,1515,24,467.2,,2167
Jul-16,Second,2016-07-24,105,MI0241,nereo,blade,5,358.7,705.2,24,NA,flew off,759
Jul-16,Manley,2016-07-25,106,MI0242,nereo,blade,18,396.3,3309.3,26,651.5,,2142
Jul-16,Manley,2016-07-25,107,MI0243,nereo,blade,20,377.8,3599.5,26,637.5,,2064
Jul-16,Manley,2016-07-25,108,MI0244,nereo,blade,10,292.9,966.9,26,351.5,,2140
Jul-16,Manley,2016-07-25,110,MI0246,nereo,blade,9,317.5,1256.5,26,402.3,,2159
Jul-16,Manley,2016-07-25,111,MI0247,nereo,blade,14,410.7,2938.5,26,NA,flew off,776
Jul-16,Manley,2016-07-25,112,MI0248,nereo,blade,7,350,970.5,26,397.8,,2143
Jul-16,Manley,2016-07-25,113,MI0249,nereo,blade,16,329.7,2716.9,26,542.8,,721
Jul-16,Manley,2016-07-25,114,MI0250,nereo,blade,11,425.7,1676.8,26,535,,729
Jul-16,Manley,2016-07-25,115,MI0251,nereo,blade,5,417.6,980.8,26,458.4,,2182
Jul-16,Manley,2016-07-25,116,MI0252,nereo,blade,26,425.4,3768.6,26,733.8,,2153
Jul-16,Manley,2016-07-25,117,MI0253,nereo,blade,2,255.9,426,26,271.2,,2170
Jul-16,Manley,2016-07-25,118,MI0254,nereo,blade,15,423,2787.8,26,602,,2190
Jul-16,Manley,2016-07-25,119,MI0255,nereo,blade,13,430,2225.6,26,580.3,,2144
Jul-16,Manley,2016-07-25,120,MI0256,nereo,blade,9,305.3,1548.4,26,409.3,,2192
