"period","date","site","diver","transect","side","distance","tag","time","blade_count","Sbulb_max","timestamp","stipe_length","presence","punch_length","punch_blade_length","blade_avg_length","sori"
"2016-Aug","2016-08-14","Second","OP",3,"L",17,510,"13:30:00",21,NA,2,NA,"y",6,10,NA,NA
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,111,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,120,NA,NA,NA,30,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,160,NA,NA,NA,13,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,266,NA,NA,NA,50,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,270,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,276,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,300,NA,NA,NA,30,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,314,NA,NA,NA,30,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,335,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,352,NA,NA,NA,0,NA
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,373,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,395,NA,NA,NA,45,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,412,NA,NA,NA,40,"0"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,417,NA,NA,NA,80,"L"
"2016-Aug","2016-08-14","Second","OP",3,NA,NA,NA,"12:05:00",NA,NA,1,473,NA,NA,NA,40,"0"
"2016-Aug","2016-09-05","Manley","AM",1,"L",8.2,2087,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",1,"L",11.6,1690,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",2,"L",8.2,1692,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",2,"L",9.5,1881,"9:30:00",33,NA,3,166,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",2,"L",10.5,2419,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",3,"L",1.9,1988,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",3,"L",7.1,1902,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","AM",3,"L",12.2,2123,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",1,"R",9.2,2135,"9:30:00",0,NA,3,240,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",1,"R",17,2076,"9:30:00",31,NA,3,270,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",1,"R",20,1835,"9:30:00",40,NA,3,182,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",2,"R",5.5,2150,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",2,"R",13,2406,"9:30:00",45,NA,3,315,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",2,"R",16.5,2019,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",3,"R",8.3,2131,"9:30:00",36,NA,3,226,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","Manley","OP",3,"R",12.8,2185,"9:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",1,"L",4.2,1840,"15:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",1,"L",9.5,1762,"15:30:00",32,NA,3,534,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",1,"L",10.9,2082,"15:30:00",27,NA,3,559,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",2,"L",3.1,1798,"15:30:00",38,NA,3,464,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",2,"L",19.8,1984,"15:30:00",35,NA,3,376,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",3,"L",4.2,1954,"15:30:00",25,NA,3,538,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",3,"L",5,1804,"15:30:00",10,NA,3,458,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","AM",3,"L",7.5,1970,"15:30:00",22,NA,3,465,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",1,"R",5,338,"15:30:00",NA,NA,3,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",1,"R",9,320,"15:30:00",44,NA,3,459,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",2,"R",1,325,"15:30:00",22,NA,3,478,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",2,"R",6,1874,"15:30:00",44,NA,3,438,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",2,"R",17,1980,"15:30:00",59,NA,3,638,"y",NA,NA,NA,NA
"2016-Aug","2016-09-05","North","OP",3,"R",3,511,"15:30:00",36,NA,3,372,"y",NA,NA,NA,NA
