"period","date","site","diver","transect","side","distance","tag","time","blade_count","Sbulb_max","timestamp","stipe_length","presence","punch_length","punch_blade_length","blade_avg_length","sori"
"2016-Aug","2016-08-10","Second","OP",3,"L",17,510,"12:05:00",NA,NA,1,255,NA,3,8,10,"0"
"2016-Aug","2016-08-13","Manley","AM",1,"L",8.2,2087,"11:45:00",24,NA,2,NA,"y",14,23,NA,NA
"2016-Aug","2016-08-13","Manley","AM",1,"L",11.6,1690,"11:45:00",36,NA,2,NA,"y",13,32,NA,NA
"2016-Aug","2016-08-13","Manley","AM",2,"L",8.2,1692,"11:45:00",37,NA,2,NA,"y",20,48,NA,NA
"2016-Aug","2016-08-13","Manley","AM",2,"L",9.5,1881,"11:45:00",34,NA,2,NA,"y",15.5,31,NA,NA
"2016-Aug","2016-08-13","Manley","AM",2,"L",10.5,2419,"11:45:00",43,NA,2,NA,"y",17.5,19,NA,NA
"2016-Aug","2016-08-13","Manley","AM",3,"L",1.9,1988,"11:45:00",28,NA,2,NA,"y",14,31,NA,NA
"2016-Aug","2016-08-13","Manley","AM",3,"L",7.1,1902,"11:45:00",51,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-13","Manley","AM",3,"L",12.2,2123,"11:45:00",46,NA,2,NA,"y",12,26,NA,NA
"2016-Aug","2016-08-13","Manley","OP",1,"R",9.2,2135,"11:45:00",35,NA,2,NA,"y",9,24,NA,NA
"2016-Aug","2016-08-13","Manley","OP",1,"R",17,2076,"11:45:00",29,NA,2,NA,"y",15,35,NA,NA
"2016-Aug","2016-08-13","Manley","OP",1,"R",20,1835,"11:45:00",45,NA,2,NA,"y",23,40,NA,NA
"2016-Aug","2016-08-13","Manley","OP",2,"R",5.5,2150,"11:45:00",46,NA,2,NA,"y",11,18,NA,NA
"2016-Aug","2016-08-13","Manley","OP",2,"R",13,2406,"11:45:00",55,NA,2,NA,"y",22,48,NA,NA
"2016-Aug","2016-08-13","Manley","OP",2,"R",16.5,2019,"11:45:00",54,NA,2,NA,"y",29,39,NA,NA
"2016-Aug","2016-08-13","Manley","OP",3,"R",8.3,2131,"11:45:00",37,NA,2,NA,"y",20,41,NA,NA
"2016-Aug","2016-08-13","Manley","OP",3,"R",12.8,2185,"11:45:00",NA,NA,2,NA,"y",8,14,NA,NA
"2016-Aug","2016-08-14","North","AM",1,"L",4.2,1840,"9:45:00",30,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-14","North","AM",1,"L",9.5,1762,"9:45:00",26,NA,2,NA,"y",24,51,NA,NA
"2016-Aug","2016-08-14","North","AM",1,"L",10.9,2082,"9:45:00",25,NA,2,NA,"y",32,61,NA,NA
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,218,NA,NA,NA,85,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,270,NA,NA,NA,13,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,297,NA,NA,NA,123,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,299,NA,NA,NA,44,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,312,NA,NA,NA,45,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,357,NA,NA,NA,90,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,364,NA,NA,NA,37,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,408,NA,NA,NA,30,"0"
