period,date,site,diver,transect,side,dist,Sbulb_max,comments
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,16,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,13,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,16,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,16,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,22,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,40,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,18,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,43,
2022-Jul,2022-07-12,Triquetta,KH,3,na,na,14,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,11,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,36,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,41,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,27,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,22,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,33,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,62,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,30,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,35,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,9,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,43,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,17,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,18,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,27,
2022-Jul,2022-07-12,Ratatouille,KH,2,na,na,20,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,17,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,19,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,41,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,45,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,22,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,14,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,52,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,18,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,55,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,8,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,9,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,27,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,54,
2022-Jul,2022-07-12,Ratatouille,OP,1,na,na,33,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,11,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,25,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,19,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,19,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,20,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,25,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,25,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,10,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,12,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,16,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,17,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,11,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,20,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,24,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,20,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,29,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,27,
2022-Jul,2022-07-12,Triquetta,OP,1,na,na,30,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,20,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,53,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,22,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,9,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,45,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,36,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,31,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,39,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,25,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,12,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,35,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,52,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,42,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,36,
2022-Jul,2022-07-12,Ratatouille,DVM,3,na,na,37,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,12,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,14,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,28,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,31,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,44,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,18,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,35,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,44,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,12,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,12,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,20,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,35,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,22,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,33,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,51,
2022-Jul,2022-07-12,Triquetta,DVM,2,na,na,35,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,33,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,44,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,37,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,50,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,41,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,30,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,32,
2022-Aug,2022-08-25,Owen,OP/KP,na,na,na,33,
2022-Aug,2022-08-02,Owen,OP,2,na,na,41,
2022-Aug,2022-08-02,Owen,OP,2,na,na,34,
2022-Aug,2022-08-02,Owen,OP,2,na,na,41,
2022-Aug,2022-08-02,Owen,OP,2,na,na,18,
2022-Aug,2022-08-02,Owen,OP,2,na,na,24,
2022-Aug,2022-08-02,Owen,OP,2,na,na,35,
2022-Aug,2022-08-02,Owen,OP,2,na,na,20,
2022-Aug,2022-08-02,Owen,OP,2,na,na,38,
2022-Aug,2022-08-02,Owen,OP,2,na,na,41,
2022-Aug,2022-08-02,Owen,OP,2,na,na,40,
2022-Aug,2022-08-02,Owen,OP,2,na,na,41,
2022-Aug,2022-08-02,Owen,OP,2,na,na,44,
2022-Aug,2022-08-02,Owen,OP,2,na,na,22,
2022-Aug,2022-08-02,Owen,OP,2,na,na,25,
2022-Aug,2022-08-02,Owen,OP,2,na,na,31,
2022-Aug,2022-08-02,Owen,OP,2,na,na,28,
2022-Aug,2022-08-02,Owen,OP,2,na,na,42,
2022-Aug,2022-08-02,Owen,OR,3,na,na,38,
2022-Aug,2022-08-02,Owen,KH,3,na,na,35,
2022-Aug,2022-08-02,Owen,KH,3,na,na,48,
2022-Aug,2022-08-02,Owen,KH,3,na,na,26,
2022-Aug,2022-08-02,Owen,KH,3,na,na,41,
2022-Aug,2022-08-02,Owen,KH,3,na,na,44,
2022-Aug,2022-08-02,Owen,KH,3,na,na,36,
2022-Aug,2022-08-02,Owen,KH,3,na,na,31,
2022-Aug,2022-08-02,Owen,KH,3,na,na,40,
2022-Aug,2022-08-02,Owen,KH,3,na,na,36,
2022-Aug,2022-08-02,Owen,KH,3,na,na,38,
2022-Aug,2022-08-02,Owen,KH,3,na,na,21,
2022-Aug,2022-08-02,Owen,KH,3,na,na,25,
2022-Aug,2022-08-02,Owen,KH,3,na,na,30,
2022-Aug,2022-08-02,Owen,KH,3,na,na,48,
2022-Aug,2022-08-02,Owen,KH,3,na,na,29,
2022-Aug,2022-08-02,Owen,KH,1,na,na,30,
2022-Aug,2022-08-02,Owen,KH,1,na,na,26,
2022-Aug,2022-08-02,Owen,KH,1,na,na,23,
2022-Aug,2022-08-02,Owen,KH,1,na,na,28,
2022-Aug,2022-08-02,Owen,KH,1,na,na,26,
2022-Aug,2022-08-02,Owen,KH,1,na,na,25,
2022-Aug,2022-08-02,Owen,KH,1,na,na,27,
2022-Aug,2022-08-02,Owen,KH,1,na,na,35,
2022-Aug,2022-08-02,Owen,KH,1,na,na,19,
2022-Aug,2022-08-02,Owen,KH,1,na,na,32,
2022-Aug,2022-08-02,Owen,KH,1,na,na,31,
2022-Aug,2022-08-02,Owen,KH,1,na,na,26,
2022-Aug,2022-08-02,Owen,KH,1,na,na,29,
2022-Aug,2022-08-02,Owen,KH,1,na,na,27,
2022-Aug,2022-08-02,Owen,KH,1,na,na,26,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,7,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,16,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,5,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,15,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,9,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,14,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,25,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,19,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,11,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,7,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,43,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,12,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,13,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,18,
2023-Jul,2023-07-14,Triquetta,JMS,2,na,na,53,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,19,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,13,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,15,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,36,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,26,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,31,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,29,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,11,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,35,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,13,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,28,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,16,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,14,
2023-Jul,2023-07-14,Triquetta,DVM,1,na,na,12,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,23,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,36,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,14,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,34,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,2,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,13,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,5,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,14,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,45,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,53,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,18,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,6,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,23,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,10,
2023-Jul,2023-07-14,Triquetta,LL,3,na,na,46,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,25,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,40,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,45,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,55,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,25,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,15,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,39,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,42,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,32,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,45,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,50,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,36,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,28,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,55,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,47,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,36,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,37,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,21,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,44,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,36,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,30,
2023-Jul,2023-07-13,Ratatouille,DVM,1,na,na,29,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,37,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,11,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,56,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,15,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,43,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,42,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,30,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,54,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,23,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,57,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,20,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,38,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,16,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,38,
2023-Jul,2023-07-13,Ratatouille,JMS,3,na,na,9,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,10,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,22,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,24,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,23,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,57,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,14,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,31,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,41,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,39,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,31,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,17,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,42,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,50,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,36,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,24,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,23,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,18,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,48,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,38,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,40,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,34,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,19,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,25,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,38,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,25,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,38,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,47,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,48,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,46,
2023-Jul,2023-07-13,Breaker,OP,2,na,na,40,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,41,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,42,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,50,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,38,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,24,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,32,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,28,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,33,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,20,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,37,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,23,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,18,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,35,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,32,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,46,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,37,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,37,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,35,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,26,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,22,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,32,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,29,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,45,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,35,
2023-Jul,2023-07-13,Breaker,DVM,1,na,na,23,
2023-Jul,2023-07-16,Manley,DVM,1,na,na,11,
2023-Jul,2023-07-16,Manley,JMS,2,na,na,4,
2023-Jul,2023-07-16,Manley,JMS,2,na,na,15,
2023-Jul,2023-07-16,Manley,OP,3,na,na,7,
2023-Jul,2023-07-16,Manley,OP,3,na,na,33,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,2,49,
2024-Jul,2024-07-11,Jennie_point,DCO,2,R,3,10,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,4,12,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,7,33,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,10,43,
2024-Jul,2024-07-11,Jennie_point,DCO,2,R,18,7,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,21,16,
2024-Jul,2024-07-11,Jennie_point,DCO,2,R,25,17,
2024-Jul,2024-07-11,Jennie_point,DCO,2,R,28,4,
2024-Jul,2024-07-11,Jennie_point,DCO,2,L,29,12,
2024-Jul,2024-07-11,Jennie_point,AS,1,L,2.5,7.5,
2024-Jul,2024-07-11,Jennie_point,AS,1,R,8,46,
2024-Jul,2024-07-11,Jennie_point,AS,1,L,9,14,
2024-Jul,2024-07-11,Jennie_point,AS,1,L,20,51,
2024-Jul,2024-07-11,Jennie_point,AS,1,R,22,47.5,
2024-Jul,2024-07-11,Jennie_point,AS,1,L,25,13,
2024-Jul,2024-07-11,Jennie_point,AS,1,R,5,11,
2024-Jul,2024-07-11,Jennie_point,AS,1,R,4,18,
2024-Jul,2024-07-11,Jennie_point,AS,1,L,2,9,
2024-Jul,2024-07-11,Jennie_point,AS,1,R,0,50,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,26,11,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,26,8,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,26,13,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,26,19,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,27,16,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,27,24,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,27,31,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,28,33,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,20,17,
2024-Jul,2024-07-11,Jennie_point,OP,3,L,10,11,
2024-Jul,2024-07-14,McMullins,OP,3,L,28,41,
2024-Jul,2024-07-14,McMullins,OP,3,L,16,25,
2024-Jul,2024-07-14,McMullins,OP,3,L,10,33,
2024-Jul,2024-07-14,McMullins,OP,3,L,2,9,
2024-Jul,2024-07-14,McMullins,OP,3,L,2,18,
2024-Jul,2024-07-14,McMullins,OP,3,L,0,9,
2024-Jul,2024-07-14,McMullins,OP,3,L,0,21,
2024-Jul,2024-07-14,McMullins,OP,3,R,0,29,
2024-Jul,2024-07-14,McMullins,OP,3,R,0,51,
2024-Jul,2024-07-14,McMullins,OP,3,R,8,52,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,2,47,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,9,54,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,14,33,
2024-Jul,2024-07-18,Robert_rocks,AS,1,L,16,30,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,17,37,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,17,49,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,18,40,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,19,33,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,20,41,
2024-Jul,2024-07-18,Robert_rocks,AS,1,R,23,30,
2024-Jul,2024-07-14,McMullins,LL,2,R,25,26,
2024-Jul,2024-07-14,McMullins,LL,2,R,18,15,
2024-Jul,2024-07-14,McMullins,LL,2,L,14,25,
2024-Jul,2024-07-14,McMullins,LL,2,L,14,32,
2024-Jul,2024-07-14,McMullins,LL,2,R,14.5,40,
2024-Jul,2024-07-14,McMullins,LL,2,R,14.5,39,
2024-Jul,2024-07-14,McMullins,LL,2,R,14.5,46,
2024-Jul,2024-07-14,McMullins,LL,2,R,10,30,
2024-Jul,2024-07-14,McMullins,LL,2,R,10,21,
2024-Jul,2024-07-14,McMullins,LL,2,R,10,35,
2024-Jul,2024-07-18,Robert_rocks,LL,2,R,30,45,
2024-Jul,2024-07-18,Robert_rocks,LL,2,R,20,21,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,20,20,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,18,38,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,18,37,
2024-Jul,2024-07-18,Robert_rocks,LL,2,R,17,40,
2024-Jul,2024-07-18,Robert_rocks,LL,2,R,17,20,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,19,19,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,17,40,
2024-Jul,2024-07-18,Robert_rocks,LL,2,L,17,43,
2024-Jul,2024-07-14,McMullins,DVM,1,L,0,37,
2024-Jul,2024-07-14,McMullins,DVM,1,L,1,42,
2024-Jul,2024-07-14,McMullins,DVM,1,R,4.5,37,
2024-Jul,2024-07-14,McMullins,DVM,1,L,7,32,
2024-Jul,2024-07-14,McMullins,DVM,1,R,13,33,
2024-Jul,2024-07-14,McMullins,DVM,1,R,15,29,
2024-Jul,2024-07-14,McMullins,DVM,1,R,15,38,
2024-Jul,2024-07-14,McMullins,DVM,1,L,16.5,37,
2024-Jul,2024-07-14,McMullins,DVM,1,L,20,22,
2024-Jul,2024-07-14,McMullins,DVM,1,L,23,36,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,2,40,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,2,55,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,2,54,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,2,38,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,14,40,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,20,44,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,20,28,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,20,42,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,24,20,
2024-Jul,2024-07-18,Robert_rocks,OP,3,R,24,56,
2024-Jul,2024-07-21,Triquetta,AS,2,L,24,24,
2024-Jul,2024-07-21,Triquetta,AS,2,L,21,21,
2024-Jul,2024-07-21,Triquetta,AS,2,L,21,21,
2024-Jul,2024-07-21,Triquetta,AS,2,L,21,21,
2024-Jul,2024-07-21,Triquetta,AS,2,L,20,20,
2024-Jul,2024-07-21,Triquetta,AS,2,L,20,20,
2024-Jul,2024-07-21,Triquetta,AS,2,L,20,20,
2024-Jul,2024-07-21,Triquetta,AS,2,L,19,19,
2024-Jul,2024-07-21,Triquetta,AS,2,R,18,18,
2024-Jul,2024-07-21,Triquetta,AS,2,L,16,16,
2024-Jul,2024-07-21,Manley,DVM,1,R,18.5,18,
2024-Jul,2024-07-21,Manley,DVM,1,L,14,2,
2024-Jul,2024-07-21,Manley,DVM,1,L,13.5,12,
2024-Jul,2024-07-21,Manley,DVM,1,L,13,10,
2024-Jul,2024-07-21,Manley,DVM,1,L,12.5,10,
2024-Jul,2024-07-21,Manley,DVM,1,L,19,21,
2024-Jul,2024-07-21,Manley,DVM,1,L,18,18,
2024-Jul,2024-07-21,Manley,DVM,1,L,17.5,15,
2024-Jul,2024-07-21,Manley,DVM,1,R,4,10,
2024-Jul,2024-07-21,Manley,DVM,1,L,4,5,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,1,10,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,3,24,
2024-Jul,2024-07-21,Triquetta,DVM,3,L,6,17,
2024-Jul,2024-07-21,Triquetta,DVM,3,L,6,10,
2024-Jul,2024-07-21,Triquetta,DVM,3,L,6,18,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,9,12,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,11,10,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,12,26,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,17,16,
2024-Jul,2024-07-21,Triquetta,DVM,3,R,18,14,
2024-Jul,2024-07-21,Manley,AS,2,R,26,15,
2024-Jul,2024-07-21,Manley,AS,2,L,27,16,
2024-Jul,2024-07-21,Manley,AS,2,R,27,4,
2024-Jul,2024-07-21,Triquetta,DCO,1,R,30,15,
2024-Jul,2024-07-21,Triquetta,DCO,1,R,28,17,
2024-Jul,2024-07-21,Triquetta,DCO,1,R,26,14,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,20,9,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,16,2,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,16,1,
2024-Jul,2024-07-21,Triquetta,DCO,1,R,14,20,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,13,8,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,9,35,
2024-Jul,2024-07-21,Triquetta,DCO,1,L,,16,
2024-Jul,2024-07-21,Manley,DCO,3,R,25,35,
2024-Jul,2024-07-21,Manley,DCO,3,L,25,26,
2024-Jul,2024-07-21,Manley,DCO,3,L,12,9,
2024-Jul,2024-07-21,Manley,DCO,3,R,16,12,
2024-Jul,2024-07-21,Manley,DCO,3,R,16,44,
2024-Jul,2024-07-21,Manley,DCO,3,R,9,25,
2024-Jul,2024-07-21,Manley,DCO,3,R,,10,
2024-Jul,2024-07-21,Manley,DCO,3,R,,28,
2024-Jul,2024-07-21,Manley,DCO,3,R,15,18,
2024-Jul,2024-07-21,Manley,DCO,3,R,15,10,
2024-Jul,2024-07-24,Ratatouille,AS,1,L,0,51,
2024-Jul,2024-07-24,Ratatouille,AS,1,R,1,22,
2024-Jul,2024-07-24,Ratatouille,AS,1,L,3,18,
2024-Jul,2024-07-24,Ratatouille,AS,1,R,4,23,
