period,date,site,diver,transect,side,dist,Sbulb_max,comments
2020-Jul,2020-07-11,Triquetta,OP/BT,3,L,15,20,
2020-Jul,2020-07-11,Triquetta,KH/DVM,2,R,4,30,
2020-Jul,2020-07-11,Triquetta,KH/DVM,2,R,7,29,
2020-Jul,2020-07-11,Triquetta,KH/DVM,2,L,10,40,
2020-Jul,2020-07-11,Triquetta,KH/DVM,2,L,14,39,
2020-Jul,2020-07-11,Triquetta,KH/DVM,2,L,18.5,39,
2020-Jul,2020-07-11,Triquetta,KH/DVM,1,L,20,32,
2020-Jul,2020-07-11,Triquetta,KH/DVM,3,R,1,26,
2020-Jul,2020-07-11,Triquetta,KH/DVM,3,L,6,25,
2020-Jul,2020-07-11,Triquetta,KH/DVM,3,R,10,38,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,19,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,32,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,29,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,38,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,38,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,36,
2020-Jul,2020-07-11,Second,KH/DVM,na,na,na,34,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,44,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,24,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,34,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,35,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,48,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,50,
2020-Jul,2020-07-11,Second,OP/BT,na,na,na,45,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,26,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,26,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,52,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,36,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,25,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,52,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,40,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,21,
2020-Jul,2020-07-11,Manley,OP/BT,na,na,na,28,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,34,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,43,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,41,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,35,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,45,
2020-Jul,2020-07-11,Manley,DVM/LL,na,na,na,44,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,23,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,19,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,24,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,37,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,30,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,33,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,28,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,31,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,55,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,41,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,41,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,45,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,17,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,35,
2020-Jul,2020-07-06,Second_intertidal,OP,na,na,na,51,
2021-Jun,2021-06-10,Owen,OP,2,L,19.9,31,
2021-Jun,2021-06-10,Owen,OP,2,L,19,20,
2021-Jun,2021-06-10,Owen,OP,2,L,15.2,33,
2021-Jun,2021-06-10,Owen,OP,1,R,0,27,
2021-Jun,2021-06-10,Owen,OP,1,L,2,20,
2021-Jun,2021-06-10,Owen,OP,1,L,6.8,28,
2021-Jun,2021-06-10,Owen,OP,3,L,9.2,30,
2021-Jun,2021-06-10,Owen,MA,2,R,19.1,23,
2021-Jun,2021-06-10,Owen,MA,2,R,18.9,22,
2021-Jun,2021-06-10,Owen,MA,2,R,16.5,32,
2021-Jun,2021-06-10,Owen,MA,2,R,14.3,46,
2021-Jun,2021-06-10,Owen,MA,1,R,1.9,31,
2021-Jun,2021-06-10,Owen,MA,1,R,4.5,31,
2021-Jun,2021-06-10,Owen,MA,1,R,16,42,
2021-Jun,2021-06-10,Owen,MA,3,R,12,37,
2021-Jul,2021-07-07,Second,ZM,na,na,na,22,
2021-Jul,2021-07-07,Second,ZM,na,na,na,11,
2021-Jul,2021-07-07,Second,ZM,na,na,na,49,
2021-Jul,2021-07-07,Second,ZM,na,na,na,27,
2021-Jul,2021-07-07,Second,KH,na,na,na,43,
2021-Jul,2021-07-07,Second,KH,na,na,na,25,
2021-Jul,2021-07-07,Second,KH,na,na,na,29,
2021-Jul,2021-07-07,Second,KH,na,na,na,30,
2021-Jul,2021-07-07,Second,KH,na,na,na,43,
2021-Jul,2021-07-07,Second,KH,na,na,na,48,
2021-Jul,2021-07-07,Second,OP,na,na,na,49,
2021-Jul,2021-07-07,Second,OP,na,na,na,46,
2021-Jul,2021-07-07,Second,OP,na,na,na,36,
2021-Jul,2021-07-07,Second,OP,na,na,na,25,
2021-Jul,2021-07-07,Second,OP,na,na,na,46,
2021-Jul,2021-07-07,Ratatouille,ZM,2,R,1,52,
2021-Jul,2021-07-07,Ratatouille,ZM,2,L,10,38,
2021-Jul,2021-07-07,Ratatouille,ZM,2,R,17.5,36,
2021-Jul,2021-07-07,Ratatouille,KH,3,R,7.8,46,
2021-Jul,2021-07-07,Ratatouille,KH,3,L,11.5,54,
2021-Jul,2021-07-07,Ratatouille,KH,3,L,13.5,42,
2021-Jul,2021-07-07,Ratatouille,KH,3,R,14,40,
2021-Jul,2021-07-07,Ratatouille,OP,1,L,1,27,
2021-Jul,2021-07-07,Ratatouille,OP,1,R,2,34,
2021-Jul,2021-07-07,Ratatouille,OP,1,L,4,43,
2021-Jul,2021-07-07,Ratatouille,OP,1,R,6.5,39,
2021-Jul,2021-07-07,North,OP,na,na,na,54,
2021-Jul,2021-07-07,North,OP,na,na,na,35,
2021-Jul,2021-07-07,North,OP,na,na,na,56,
2021-Jul,2021-07-07,North,OP,na,na,na,35,
2021-Jul,2021-07-07,North,OP,na,na,na,52,
2021-Jul,2021-07-07,North,ZM,na,na,na,45,
2021-Jul,2021-07-07,North,ZM,na,na,na,41,
2021-Jul,2021-07-07,North,ZM,na,na,na,43,
2021-Jul,2021-07-07,North,KH,na,na,na,40,
2021-Jul,2021-07-07,North,KH,na,na,na,32,
2021-Jul,2021-07-07,North,KH,na,na,na,55,
2021-Jul,2021-07-07,North,KH,na,na,na,55,
2021-Jul,2021-07-07,North,KH,na,na,na,53,
2021-Jul,2021-07-08,Triquetta,ZM,1,R,0,10,
2021-Jul,2021-07-08,Triquetta,ZM,1,L,1.3,36,
2021-Jul,2021-07-08,Triquetta,ZM,1,R,3.2,10,
2021-Jul,2021-07-08,Triquetta,ZM,1,L,13.2,21,
2021-Jul,2021-07-08,Triquetta,ZM,1,R,19,17,
2021-Jul,2021-07-08,Triquetta,DVM,2,R,2,50,
2021-Jul,2021-07-08,Triquetta,DVM,2,L,5,20,
2021-Jul,2021-07-08,Triquetta,DVM,2,R,7,11,
2021-Jul,2021-07-08,Triquetta,DVM,2,L,11.5,14,
2021-Jul,2021-07-08,Triquetta,KH,3,L,2,23,
2021-Jul,2021-07-08,Triquetta,KH,3,L,4,28,
2021-Jul,2021-07-08,Triquetta,KH,3,L,7.5,29,
2021-Jul,2021-07-08,Triquetta,KH,3,L,19,50,
2021-Jul,2021-07-08,Triquetta,KH,3,L,17,15,
2021-Jul,2021-07-08,Triquetta,KH,3,R,14.5,50,
2021-Jul,2021-07-08,Breaker,KH,3,R,1,29,
2021-Jul,2021-07-08,Breaker,KH,3,L,7,37,
2021-Jul,2021-07-08,Breaker,KH,3,L,19,54,
2021-Jul,2021-07-08,Breaker,DVM,2,R,1,40,
2021-Jul,2021-07-08,Breaker,DVM,2,R,3,20,
