"period","site","diver","transect","side","dist","date","tag","Sbulb_max","data_source"
"2019-Jul","Manley","ZM",1,"R",1.4,"2019-07-03",NA,17,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",2.8,"2019-07-03",NA,8,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",4.2,"2019-07-03",NA,7,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",4.1,"2019-07-03",NA,35,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",8.1,"2019-07-03",NA,4,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",11.5,"2019-07-03",NA,40,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",12.7,"2019-07-03",NA,15,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",13.5,"2019-07-03",NA,36,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",17.5,"2019-07-03",NA,16,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",17.5,"2019-07-03",NA,32,"nereo_metricsT1"
"2019-Jul","Manley","ZM",1,"R",17.6,"2019-07-03",NA,20,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",13,"2019-07-03",NA,38,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",13,"2019-07-03",NA,39,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",13,"2019-07-03",NA,44,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",13,"2019-07-03",NA,43,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",15.2,"2019-07-03",NA,16,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"R",15.7,"2019-07-03",NA,34,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"R",15.7,"2019-07-03",NA,48,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",9.5,"2019-07-03",NA,10,"nereo_metricsT1"
"2019-Jul","Manley","ZM",2,"L",9.5,"2019-07-03",NA,11,"nereo_metricsT1"
