"period","site","diver","transect","side","dist","date","tag","Sbulb_max","data_source"
"2019-Jul","Manley","ZM",3,"R",6.1,"2019-07-03",NA,7,"nereo_metricsT1"
"2019-Jul","Manley","ZM",3,"L",5.1,"2019-07-03",NA,20,"nereo_metricsT1"
"2019-Jul","Manley","OP",1,"R",19.8,"2019-07-07",228,38,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"R",17.4,"2019-07-07",247,12,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"R",17.6,"2019-07-07",236,10,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"L",14.4,"2019-07-07",246,15,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"L",6.4,"2019-07-07",237,10,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"R",1.7,"2019-07-07",238,16,"nereo_metricsT2"
"2019-Jul","Manley","OP",1,"R",18.8,"2019-07-07",46,46,"nereo_metricsT2"
"2019-Jul","Manley","OP",3,"R",4.5,"2019-07-07",244,21,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"L",1.2,"2019-07-07",233,38,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"R",9.4,"2019-07-07",229,48,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"L",13,"2019-07-07",225,38,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"R",13.8,"2019-07-07",245,36,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"R",15.8,"2019-07-07",235,47,"nereo_metricsT2"
"2019-Jul","Manley","DNO",2,"L",16,"2019-07-07",241,42,"nereo_metricsT2"
"2019-Jul","Manley","KH",1,NA,2,"2019-07-20",NA,12,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,4,"2019-07-20",NA,11,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,4.5,"2019-07-20",NA,16,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,6,"2019-07-20",NA,25,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,12.5,"2019-07-20",NA,43,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,13,"2019-07-20",NA,32,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,13.5,"2019-07-20",NA,18,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.8,"2019-07-20",NA,8,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.8,"2019-07-20",NA,8,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.5,"2019-07-20",NA,32,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.5,"2019-07-20",NA,22,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.9,"2019-07-20",NA,43,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.9,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","Manley","KH",1,NA,19.9,"2019-07-20",NA,12,"nereo_metricsT1"
"2019-Jul","Manley","LL",2,NA,17,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","Manley","LL",2,NA,17,"2019-07-20",NA,16,"nereo_metricsT1"
"2019-Jul","Manley","LL",2,NA,16,"2019-07-20",NA,20,"nereo_metricsT1"
"2019-Jul","Manley","LL",2,NA,13,"2019-07-20",NA,44,"nereo_metricsT1"
"2019-Jul","Manley","LL",2,NA,13,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","Manley","LL",3,NA,13,"2019-07-20",NA,45,"nereo_metricsT1"
"2019-Jul","Manley","LL",3,NA,20,"2019-07-20",NA,38,"nereo_metricsT1"
"2019-Jul","Manley","LL",3,NA,20,"2019-07-20",NA,35,"nereo_metricsT1"
"2019-Jul","Manley","LL",3,NA,20,"2019-07-20",NA,47,"nereo_metricsT1"
"2019-Jul","Manley","LL",3,NA,20,"2019-07-20",NA,19,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",1.5,"2019-07-06",NA,51,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",4,"2019-07-06",NA,41,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",5,"2019-07-06",NA,48,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",5,"2019-07-06",NA,31,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",5,"2019-07-06",NA,36,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",5,"2019-07-06",NA,36,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",8,"2019-07-06",NA,45,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",20,"2019-07-06",NA,51,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",18,"2019-07-06",NA,28,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",5.5,"2019-07-06",NA,38,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",4,"2019-07-06",NA,38,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"R",4,"2019-07-06",NA,41,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",5,"2019-07-06",NA,35,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",5,"2019-07-06",NA,45,"nereo_metricsT1"
"2019-Jul","North","ZM",1,"L",5,"2019-07-06",NA,37,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",18.5,"2019-07-06",NA,20,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"R",16.1,"2019-07-06",NA,38,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",15.4,"2019-07-06",NA,46,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",14.2,"2019-07-06",NA,20,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",12.5,"2019-07-06",NA,18,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",12.5,"2019-07-06",NA,17,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",11.8,"2019-07-06",NA,39,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",11.5,"2019-07-06",NA,14,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",8.4,"2019-07-06",NA,46,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"R",7.4,"2019-07-06",NA,7,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",0.7,"2019-07-06",NA,24,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",2.2,"2019-07-06",NA,38,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",0.5,"2019-07-06",NA,47,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",3.4,"2019-07-06",NA,22,"nereo_metricsT1"
"2019-Jul","North","DVM",3,"L",1.1,"2019-07-06",NA,47,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"L",0,"2019-07-06",NA,50,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"L",2.8,"2019-07-06",NA,35,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"R",2.9,"2019-07-06",NA,56,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"R",2.9,"2019-07-06",NA,69,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"R",3.7,"2019-07-06",NA,51,"nereo_metricsT1"
"2019-Jul","North","DVM",2,"R",4.8,"2019-07-06",NA,45,"nereo_metricsT1"
"2019-Jul","North","LL",2,"L",17.6,"2019-07-06",291.1,28,"nereo_metricsT2"
"2019-Jul","North","LL",2,"L",17.5,"2019-07-06",284,29,"nereo_metricsT2"
"2019-Jul","North","LL",2,"R",13.8,"2019-07-06",293.1,39,"nereo_metricsT2"
"2019-Jul","North","LL",2,"L",4.8,"2019-07-06",289.1,50,"nereo_metricsT2"
"2019-Jul","North","LL",2,"R",1.5,"2019-07-06",295.1,50,"nereo_metricsT2"
"2019-Jul","North","LL",1,"L",4.5,"2019-07-06",239,20,"nereo_metricsT2"
"2019-Jul","North","LL",1,"L",5.3,"2019-07-06",299,32,"nereo_metricsT2"
"2019-Jul","North","LL",1,"L",7.5,"2019-07-06",287.1,40,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"L",12.8,"2019-07-06",96.1,39,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"L",10,"2019-07-06",226,26,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"R",7,"2019-07-06",242,33,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"R",10.4,"2019-07-06",232,34,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"R",16,"2019-07-06",249,42,"nereo_metricsT2"
"2019-Jul","North","DNO",3,"R",17.2,"2019-07-06",227,30,"nereo_metricsT2"
"2019-Jul","North","DNO",2,"R",18.5,"2019-07-06",230,23,"nereo_metricsT2"
"2019-Jul","North","KH",1,NA,3,"2019-07-20",NA,42,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,4,"2019-07-20",NA,53,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,6,"2019-07-20",NA,62,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,9,"2019-07-20",NA,49,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,18,"2019-07-20",NA,52,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,3.1,"2019-07-20",NA,42,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,3.5,"2019-07-20",NA,48,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,4,"2019-07-20",NA,36,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,4,"2019-07-20",NA,49,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,6.2,"2019-07-20",NA,33,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,6.2,"2019-07-20",NA,51,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,7,"2019-07-20",NA,47,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,7,"2019-07-20",NA,51,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,7.2,"2019-07-20",NA,33,"nereo_metricsT1"
"2019-Jul","North","KH",1,NA,7.3,"2019-07-20",NA,36,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,0,"2019-07-20",NA,52,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,0,"2019-07-20",NA,59,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,6,"2019-07-20",NA,61,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,6,"2019-07-20",NA,59,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,6,"2019-07-20",NA,41,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,8,"2019-07-20",NA,53,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,8,"2019-07-20",NA,43,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,8,"2019-07-20",NA,66,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,8,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","North","LL",2,NA,10,"2019-07-20",NA,55,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,2,"2019-07-20",NA,35,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,6,"2019-07-20",NA,14,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,10,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,10,"2019-07-20",NA,31,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,10,"2019-07-20",NA,6,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,10,"2019-07-20",NA,29,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,10,"2019-07-20",NA,39,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,12,"2019-07-20",NA,49,"nereo_metricsT1"
"2019-Jul","North","LL",3,NA,20,"2019-07-20",NA,32,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",5,"2019-07-06",NA,24,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",5.5,"2019-07-06",NA,30,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",5.4,"2019-07-06",NA,30,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",9.8,"2019-07-06",NA,19,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",9.8,"2019-07-06",NA,44,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",10.5,"2019-07-06",NA,22,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",12,"2019-07-06",NA,51,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",13.6,"2019-07-06",NA,19,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",13.6,"2019-07-06",NA,5,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",14.2,"2019-07-06",NA,46,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",15.4,"2019-07-06",NA,12,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",15,"2019-07-06",NA,6,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"L",15,"2019-07-06",NA,4,"nereo_metricsT1"
"2019-Jul","Second","DVM",1,"R",12.8,"2019-07-06",NA,35,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",1,"2019-07-06",NA,47,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",1,"2019-07-06",NA,21,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",1,"2019-07-06",NA,36,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"L",3,"2019-07-06",NA,55,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3,"2019-07-06",NA,34,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.5,"2019-07-06",NA,42,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.5,"2019-07-06",NA,38,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",4,"2019-07-06",NA,36,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.8,"2019-07-06",NA,50,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",5,"2019-07-06",NA,22,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.8,"2019-07-06",NA,18,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.7,"2019-07-06",NA,24,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.5,"2019-07-06",NA,34,"nereo_metricsT1"
"2019-Jul","Second","DVM",2,"R",3.5,"2019-07-06",NA,35,"nereo_metricsT1"
"2019-Jul","Second","ZM",3,"R",5,"2019-07-06",NA,7,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"L",3.3,"2019-07-06",NA,42,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"L",5.5,"2019-07-06",NA,40,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"L",5.5,"2019-07-06",NA,43,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"R",20,"2019-07-06",NA,5,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"R",20,"2019-07-06",NA,7,"nereo_metricsT1"
"2019-Jul","Second","ZM",2,"R",20,"2019-07-06",NA,9,"nereo_metricsT1"
"2019-Jul","Second","DNO",1,"L",5.9,"2019-07-06",268,63,"nereo_metricsT2"
"2019-Jul","Second","DNO",1,"L",12.6,"2019-07-06",280.1,43,"nereo_metricsT2"
"2019-Jul","Second","DNO",1,"L",18,"2019-07-06",297.1,34,"nereo_metricsT2"
"2019-Jul","Second","DNO",1,"R",14,"2019-07-06",279.1,37,"nereo_metricsT2"
"2019-Jul","Second","DNO",1,"R",12,"2019-07-06",294,53,"nereo_metricsT2"
"2019-Jul","Second","DNO",1,"R",10,"2019-07-06",290,45,"nereo_metricsT2"
"2019-Jul","Second","OP",3,"R",8.5,"2019-07-06",5,37,"nereo_metricsT2"
"2019-Jul","Second","OP",3,"R",18.4,"2019-07-06",254,30,"nereo_metricsT2"
"2019-Jul","Second","OP",3,"R",18.3,"2019-07-06",0,16,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"L",19.6,"2019-07-06",37,21,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"L",16.7,"2019-07-06",23,10,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"L",15.8,"2019-07-06",21,12,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"R",14,"2019-07-06",48,16,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"R",4,"2019-07-06",260,23,"nereo_metricsT2"
"2019-Jul","Second","OP",2,"R",4.1,"2019-07-06",255,37,"nereo_metricsT2"
"2019-Jul","Second","KH",2,NA,0,"2019-07-20",NA,51,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,1,"2019-07-20",NA,49,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,4.5,"2019-07-20",NA,39,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,4.6,"2019-07-20",NA,52,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,4.4,"2019-07-20",NA,56,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,7.5,"2019-07-20",NA,43,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,7.5,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","Second","KH",2,NA,16,"2019-07-20",NA,10,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,5,"2019-07-20",NA,25,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,10,"2019-07-20",NA,32,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,15,"2019-07-20",NA,26,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,17,"2019-07-20",NA,4,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,17,"2019-07-20",NA,23,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,17,"2019-07-20",NA,52,"nereo_metricsT1"
"2019-Jul","Second","LL",1,NA,20,"2019-07-20",NA,43,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",1,"2019-07-07",NA,23,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",5,"2019-07-07",NA,20,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"R",7,"2019-07-07",NA,16,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"R",9,"2019-07-07",NA,37,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",11,"2019-07-07",NA,15,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"R",13,"2019-07-07",NA,25,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",13,"2019-07-07",NA,37,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",16,"2019-07-07",NA,34,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",19,"2019-07-07",NA,35,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,"L",19.5,"2019-07-07",NA,34,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"R",0.9,"2019-07-07",NA,56,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",2,"2019-07-07",NA,29,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",3,"2019-07-07",NA,46,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",4.5,"2019-07-07",NA,21,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",8,"2019-07-07",NA,44,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"R",10,"2019-07-07",NA,51,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",14,"2019-07-07",NA,48,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"L",16,"2019-07-07",NA,29,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",2,"R",11,"2019-07-07",NA,26,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"L",0.5,"2019-07-07",NA,34,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"R",2.2,"2019-07-07",NA,37,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"L",4.3,"2019-07-07",NA,41,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"R",6.8,"2019-07-07",NA,50,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"L",9.1,"2019-07-07",NA,37,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"R",10.1,"2019-07-07",NA,48,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"L",12.2,"2019-07-07",NA,27,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"R",14,"2019-07-07",NA,39,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"L",16,"2019-07-07",NA,40,"nereo_metricsT1"
"2019-Jul","Triquetta","ZM",2,"R",18.2,"2019-07-07",NA,28,"nereo_metricsT1"
"2019-Jul","Triquetta","DNO",3,"L",3.5,"2019-07-07",234,32,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",3,"L",5,"2019-07-07",231,50,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",3,"L",6,"2019-07-07",278,46,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",3,"R",9,"2019-07-07",243,56,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",3,"R",15,"2019-07-07",248,28,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",2,"L",5,"2019-07-07",269.1,50,"nereo_metricsT2"
"2019-Jul","Triquetta","DNO",2,"L",1,"2019-07-07",266,26,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",1,"R",18.3,"2019-07-07",10.2,42,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",1,"L",17.5,"2019-07-07",4.2,22,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",1,"L",9,"2019-07-07",7.2,25,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",1,"L",0.8,"2019-07-07",6.1,23,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",1,"R",3.5,"2019-07-07",8.1,34,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",2,"R",6,"2019-07-07",1.2,48,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",2,"L",10.9,"2019-07-07",9.2,32,"nereo_metricsT2"
"2019-Jul","Triquetta","OP",2,"L",19,"2019-07-07",2.1,39,"nereo_metricsT2"
"2019-Jul","Triquetta","LL",1,NA,17,"2019-07-20",NA,42,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,17,"2019-07-20",NA,34,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,2,"2019-07-20",NA,6,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,2,"2019-07-20",NA,27,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,3,"2019-07-20",NA,30,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,5,"2019-07-20",NA,16,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,5,"2019-07-20",NA,35,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,6,"2019-07-20",NA,36,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,6,"2019-07-20",NA,15,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,9,"2019-07-20",NA,45,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,9,"2019-07-20",NA,39,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,11,"2019-07-20",NA,48,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,11,"2019-07-20",NA,33,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,13,"2019-07-20",NA,30,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",1,NA,13,"2019-07-20",NA,26,"nereo_metricsT1"
"2019-Jul","Triquetta","LL",2,NA,12,"2019-07-20",NA,25,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,1,"2019-07-20",NA,16,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,2,"2019-07-20",NA,36,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,5,"2019-07-20",NA,38,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,8,"2019-07-20",NA,28,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,8,"2019-07-20",NA,27,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,10,"2019-07-20",NA,52,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,11.5,"2019-07-20",NA,19,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,12.5,"2019-07-20",NA,48,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,15,"2019-07-20",NA,40,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,16.5,"2019-07-20",NA,46,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,17,"2019-07-20",NA,31,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,18,"2019-07-20",NA,31,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,19,"2019-07-20",NA,41,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,19.5,"2019-07-20",NA,32,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",3,NA,20,"2019-07-20",NA,36,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",2,NA,18.5,"2019-07-20",NA,35,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",2,NA,17.5,"2019-07-20",NA,41,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",2,NA,16,"2019-07-20",NA,30,"nereo_metricsT1"
"2019-Jul","Triquetta","KH",2,NA,10,"2019-07-20",NA,21,"nereo_metricsT1"
