period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,202,21,na,89,na,na,na,53,0.06,0.26,na,"calculated bulb diamter based on circumference, 28",na,na,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,253,37,na,99,na,na,na,62,0.23,0.73,na,"calculated bulb diamter based on circumference, 31",28,MI0292,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,383,85,na,95,na,na,na,46,0.55,0.74,0,"calculated bulb diamter based on circumference, 30",708,MI0311,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,440,64,na,83,na,na,na,44,0.41,0.51,0,"calculated bulb diamter based on circumference, 26",302,MI0304,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,481,56,na,99,na,na,na,68,0.46,1.48,L,"calculated bulb diamter based on circumference, 31",725,MI0310,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,518,60,na,89,na,na,na,60,0.49,2.22,L,"calculated bulb diamter based on circumference, 28",3,MI0309,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,494,88,na,92,na,na,na,45,1.02,1.23,L,"calculated bulb diamter based on circumference, 29",328,MI0308,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,502,57,na,95,na,na,na,34,0.4,1.19,L,"calculated bulb diamter based on circumference, 30",714,MI0306,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,407,59,na,92,na,na,na,49,0.53,0.72,L,"calculated bulb diamter based on circumference, 29",28,MI0302,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,331,21,na,76,na,na,na,33,0.05,0.22,0,"calculated bulb diamter based on circumference, 24",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,453,48,na,64,na,na,na,21,0.2,0.23,0,"calculated bulb diamter based on circumference, 20",23,MI0307,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,356,30,na,95,na,na,na,26,0.08,0.75,0,"calculated bulb diamter based on circumference, 30",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,556,61,na,88,na,na,na,49,0.38,na,L,"calculated bulb diamter based on circumference, 28",31,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,462,45,na,80,na,na,na,53,0.47,0.74,L,"calculated bulb diamter based on circumference, 25",33,MI0305,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,464,49,na,89,na,na,na,31,0.32,0.99,0,"calculated bulb diamter based on circumference, 28",1,MI0303,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,549,46,na,80,na,na,na,20,0.19,0.48,0,"calculated bulb diamter based on circumference, 25",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,388,54,na,83,na,na,na,32,0.24,0.36,0,"calculated bulb diamter based on circumference, 26",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,363,76,na,86,na,na,na,31,0.22,0.24,0,"calculated bulb diamter based on circumference, 27",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,343,85,na,99,na,na,na,43,0.62,0.46,0,"calculated bulb diamter based on circumference, 31",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,423,90,na,86,na,na,na,40,0.83,1.55,L,"calculated bulb diamter based on circumference, 27",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,354,33,na,76,na,na,na,37,0.13,0.24,0,"calculated bulb diamter based on circumference, 24",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,426,74,na,92,na,na,na,43,0.7,0.62,0,"calculated bulb diamter based on circumference, 29",na,na,
2016-Aug,2016-08-14,North,na,na,GS/KB,na,214,88,na,73,na,na,na,22,0.2,0.18,0,"calculated bulb diamter based on circumference, 23",na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,360,66,na,94,na,na,na,51,0.51,0.31,na,,19,MI0882,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,84,52,na,92,na,na,na,64,0.42,0.39,na,,20,MI0883,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,227,78,na,130,na,na,na,75,0.64,0.39,na,,17,MI0884,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,350,70,na,130,na,na,na,89,1.28,0.96,na,,22,MI0885,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,230,60,na,115,na,na,na,60,0.56,0.48,na,,18,MI0886,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,396,108,na,140,na,na,na,77,1.7,1.26,na,,24,MI0887,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,162,53,na,120,na,na,na,72,0.52,0.45,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,110,39,na,75,na,na,na,37,0.11,0.12,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,164,87,na,125,na,na,na,65,0.55,0.34,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,348,118,na,145,na,na,na,84,2.73,1.59,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,273,59,na,120,na,na,na,55,0.34,0.72,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,146,68,na,65,na,na,na,60,0.36,0.32,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,148,62,na,70,na,na,na,30,0.17,0.15,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,310,60,na,94,na,na,na,69,0.51,0.28,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,325,58,na,110,na,na,na,87,0.53,0.38,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,204,43,na,80,na,na,na,50,0.23,0.29,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,262,69,na,95,na,na,na,75,0.6,0.64,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,230,54,na,100,na,na,na,62,0.4,0.65,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,239,50,na,75,na,na,na,61,0.3,0.18,na,,na,na,
2017-Jul,2017-07-13,Manley,na,na,KB/TF,na,379,51,na,90,na,na,na,55,0.4,0.46,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,420,46,na,76,na,na,na,48,0.26,0.36,na,,Q4,MI0907,
